restaurant_id,Title,Reviews,Rating,Price,Revenue,Cuisine,Cuisine_countries,Cuisine_countries_0,Cuisine_countries_1,Cuisine_countries_2,Cuisine_countries_3,Cuisine_auxes,lat,lng,restaurants_count,Population,Pricexm2
0,Mabuhay Restaurant,368,5,8,368,"Filipino, Healthy",1E+050,0,1E+021,0,0,1000000000,45.4794,9.18209,114,18492,6250
1,Star Zagros Kebabbar,236,5,,236,"Middle Eastern, Turkish, Pub, Bar, International, Dining bars",1.0000000000001E+042,0,10000000000001,1E+025,0,1.00000001E+021,45.46201,9.21903,89,31720,4100
2,Shabby Grill Restaurant,174,5,53.5,174,"Italian, Steakhouse, Barbecue",1E+040,0,100000000000,0,0,1E+020,45.46848,9.12568,8,24871,1700
3,Il Panino del Laghetto,168,5,9.5,168,"Italian, Street Food, Fast Food",1E+040,0,100000000000,0,0,1000000000100,45.46162,9.19556,204,16765,4950
4,Panzarotti,665,5,11.5,665,"Italian, Mediterranean, Deli, Street Food, Apulian, Southern-Italian",1E+076,1E+022,100000000100,100000000,0,1000000000000100,45.45179,9.18687,44,13686,3300
5,Pizzium - Via Vigevano,966,4.5,24,966,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10000000,45.45298,9.17189,74,17030,4000
6,Linfa Milano - Eat Different,137,5,38.5,137,"Sushi, Italian, Bar, Mediterranean, Healthy",1.000000001E+040,0,100000000100,0,0,1.000000000001E+021,45.45381,9.16346,56,15228,4550
7,La Tartina,507,4.5,149.5,507,"Italian, Cafe, Contemporary, Dining bars",1E+040,0,100000000000,0,0,1.1001E+017,45.47149,9.18479,114,18492,6250
8,Piadineria Artigianale Pascoli,844,4.5,6,844,"Italian, Fast Food, Healthy, Emilian, Northern-Italian",1.0000000000001E+053,0,1.0000000000001E+024,1E+021,0,1001000000000,45.48343,9.2154,193,62347,4750
9,Yokohama Flavour Journey Cuisine,,4.5,118.5,261.466666666667,"Seafood, Sushi, Asian, Fusion, Soups, Japanese, Healthy",1E+073,1E+019,1.00000001E+018,0,0,1000110010,45.45984,9.19142,204,16765,4950
10,Kate Away Milano,226,5,10,226,"Italian, Cafe, European, Contemporary, Street Food, Dining bars",1.00000000001E+051,0,1.00000000001E+022,0,0,1.1001E+017,45.4491,9.17987,81,20008,4000
11,Tram,335,5,4,335,"Italian, Street Food, Fast Food",1E+040,0,100000000000,0,0,1000000000100,45.4265,9.25098,3,1687,1900
12,Viaggi Nel Gusto,185,5,,185,"Italian, Mediterranean, Romana, Lazio, Lombard, Northern-Italian, Central-Italian",1E+060,1000000,100001001100,1.000001E+021,0,0,45.45874,9.17814,204,16765,4950
13,l’Anlot e Oltre,124,4.5,35,124,"Italian, Mediterranean, Healthy",1.000000001E+040,0,100000000100,0,0,1000000000,45.46753,9.15077,52,21394,3500
14,Ristorante Xiongdi,,4.5,34.5,187.7265625,"Chinese, Japanese, Seafood, Sushi, Asian, Middle Eastern, Soups",1.00000000000001E+073,1.00000000000001E+019,10000000001,1E+025,0,110010,45.4906,9.20296,90,18831,3200
15,Nàpiz' Milano,861,4.5,10,861,"Pizza, Italian, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10000000,45.4777,9.19893,90,18831,3200
16,La TASTeria Gourmet Sicily Milano Brera,204,4.5,13,204,"Italian, Seafood, Mediterranean, European, Street Food, Healthy, Sicilian, Southern-Italian",1.00000000001E+051,0,1.00000000001E+022,100100000000,0,1000100100,45.47585,9.18945,114,18492,6250
17,Pomet Milano,,4.5,18.5,169.613636363636,"Italian, Pizza, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,10000000,45.46245,9.18544,204,16765,4950
18,Piadineria Doppio Zero,320,4.5,,320,Italian,1E+040,0,100000000000,0,0,0,45.48632,9.16012,91,30985,3850
19,Pasta d'Autore,,4.5,13.5,169.613636363636,"Italian, Pizza, Mediterranean, European, Beer restaurants",1.00000000001E+051,0,1.00000000001E+022,0,0,1.000000000001E+019,45.45876,9.18099,204,16765,4950
21,Olo-olo Ravioleria,114,4.5,,114,"Chinese, Asian",1.00000000000001E+073,1.00000000000001E+019,0,0,0,0,45.48971,9.18891,88,22859,3200
22,Soprattutto,115,4.5,30,115,"Italian, Mediterranean, Barbecue, Steakhouse, Brew Pub, Bar, Grill",1.000000001E+040,0,100000000100,0,0,1.10100000001E+021,45.45614,9.23822,8,19267,1600
23,LUX Gourmet Social Club,321,4.5,47.5,321,"Italian, Pizza, Contemporary, Fusion, Mediterranean, Healthy",1.0000001E+047,0,1.0000001E+018,0,0,1.000000101E+016,45.48681,9.23321,70,44572,2800
24,Pizza AM,,4.5,,169.613636363636,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10000000,45.45562,9.1968,55,15364,5050
25,G sushi - Oriental Pleasure,204,4.5,21,204,"Japanese, Seafood, Sushi, Asian",1E+073,1E+019,10000000000,0,0,100010,45.48561,9.1628,91,30985,3850
26,Pizzeria Cinder Mount,262,4.5,,262,"Italian, Pizza, Mediterranean",1.000000001E+040,0,100000000100,0,0,10000000,45.49206,9.15417,33,41405,1850
27,Taac Trattoria,141,4.5,30,141,"Seafood, Mediterranean, Southern-Italian",1E+031,0,100,100000000,0,100000,45.51212,9.17027,19,25305,2000
29,Sapori Solari - Salumeria Bistrot,,4.5,33,169.613636363636,"Italian, Deli, Wine Bar, Mediterranean, European",1.00000000001E+051,0,1.00000000001E+022,0,0,1000000000000001,45.46224,9.13763,43,44222,2150
